

@relation 'DatosUtilizadosAlfredoDGB2-GTM-982'
@attribute MARKS real
@attribute PC-ACTIV real
@attribute PC-ASSIST real
@attribute AGE real
@attribute AVER-INHOUSE real
@attribute AVER-FORUM real
@attribute AVER-MAIL real
@attribute AVER-CLASS real
@data
4,62.06896552,40,40.79,0,3,5,8
2.8,65.51724138,100,49.20,10,9,8,0
10,65.51724138,100,49.24,10,10,10,10
1.5,62.06896552,46.66666667,35.39,0,10,10,0
2.9,65.51724138,100,56.67,10,9,10,0
2.75,65.51724138,100,46.49,10,10,5,0
1.4,62.06896552,46.66666667,61.02,0,9,10,0
2.6,65.51724138,100,26.37,8,9,10,0
3,65.51724138,100,49.85,10,10,10,0
9,65.51724138,100,34.72,10,8,9,10
2.95,65.51724138,100,38.81,10,10,10,0
1.3,65.51724138,100,28.17,7,5,0,0
3,65.51724138,100,42.34,10,10,10,0
1.5,65.51724138,100,34.79,10,0,0,0
10,65.51724138,100,48.87,10,10,10,10
1.3,65.51724138,100,38.73,7,5,0,0
2,65.51724138,100,41.01,10,10,0,0
2.8,65.51724138,100,30.13,10,10,10,0
2.9,65.51724138,100,39.90,10,10,9,0
1.4,62.06896552,46.66666667,65.85,0,9,10,0
7.6,65.51724138,100,45.49,6,6,0,8
2.9,65.51724138,100,44.91,10,9,10,0
9.55,65.51724138,100,44.95,10,10,9,10
2.5,65.51724138,100,56.66,10,9,5,0
1.35,65.51724138,86.66666667,27.24,9,0,0,0
3,65.51724138,100,38.00,10,10,10,0
2.8,65.51724138,80,28.42,10,8,9,0
7.7,62.06896552,40,29.96,0,8,9,10
2.85,65.51724138,100,45.76,10,9,9,0
2.9,65.51724138,100,46.52,10,9,10,0
7.55,65.51724138,100,28.91,10,5,4,7
2.3,65.51724138,100,35.33,10,5,5,0
9.75,65.51724138,100,35.93,10,10,5,10
2.7,65.51724138,100,31.71,9,9,9,0
2.6,65.51724138,86.66666667,41.44,8,8,10,0
1.6,65.51724138,100,44.65,9,5,0,0
2.9,65.51724138,100,39.06,10,10,9,0
1.35,3.448275862,13.33333333,37.42,9,0,0,0
0.6,65.51724138,66.66666667,37.19,4,0,0,0
2.85,65.51724138,100,30.46,9,10,10,0
2.9,65.51724138,60,34.99,10,9,10,0
2.65,65.51724138,100,36.31,10,10,10,0
2.9,65.51724138,100,34.34,10,10,9,0
2.4,65.51724138,100,44.60,10,5,10,0
2,65.51724138,60,52.45,9,10,0,0
2.8,65.51724138,100,34.72,9,9,10,0
